parameter,location,city,country,value,unit,date_utc,date_local,sourceName,sourceType,mobile,coordinates_latitude,coordinates_longitude,averagingPeriod_unit,averagingPeriod_value,attribution_name,attribution_url
co,"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,IN,3000,µg/m³,2020-09-18T15:45:00Z,2020-09-18T21:15:00+05:30,caaqm,government,false,22.410802,73.097923,hours,0.25,Central Pollution Control Board,https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing
so2,"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,IN,2,µg/m³,2020-09-18T15:45:00Z,2020-09-18T21:15:00+05:30,caaqm,government,false,22.410802,73.097923,hours,0.25,Central Pollution Control Board,https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing
no2,"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,IN,95,µg/m³,2020-09-18T15:45:00Z,2020-09-18T21:15:00+05:30,caaqm,government,false,22.410802,73.097923,hours,0.25,Central Pollution Control Board,https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing
pm10,"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,IN,153,µg/m³,2020-09-18T15:45:00Z,2020-09-18T21:15:00+05:30,caaqm,government,false,22.410802,73.097923,hours,0.25,Central Pollution Control Board,https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing
pm25,"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,IN,107,µg/m³,2020-09-18T15:45:00Z,2020-09-18T21:15:00+05:30,caaqm,government,false,22.410802,73.097923,hours,0.25,Central Pollution Control Board,https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing
o3,"Teri Gram, Gurugram - HSPCB",Gurugram,IN,16.31,µg/m³,2020-09-18T15:30:00Z,2020-09-18T21:00:00+05:30,caaqm,government,false,28.4275,77.1465,hours,0.25,Central Pollution Control Board,https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing
co,"Teri Gram, Gurugram - HSPCB",Gurugram,IN,520,µg/m³,2020-09-18T15:30:00Z,2020-09-18T21:00:00+05:30,caaqm,government,false,28.4275,77.1465,hours,0.25,Central Pollution Control Board,https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing
so2,"Teri Gram, Gurugram - HSPCB",Gurugram,IN,4.32,µg/m³,2020-09-18T15:30:00Z,2020-09-18T21:00:00+05:30,caaqm,government,false,28.4275,77.1465,hours,0.25,Central Pollution Control Board,https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing
no2,"Teri Gram, Gurugram - HSPCB",Gurugram,IN,10.23,µg/m³,2020-09-18T15:30:00Z,2020-09-18T21:00:00+05:30,caaqm,government,false,28.4275,77.1465,hours,0.25,Central Pollution Control Board,https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing
pm10,"Teri Gram, Gurugram - HSPCB",Gurugram,IN,83.52,µg/m³,2020-09-18T15:30:00Z,2020-09-18T21:00:00+05:30,caaqm,government,false,28.4275,77.1465,hours,0.25,Central Pollution Control Board,https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing
